7.03E-17,3.17E+23
1.32E-16,0
1.60E-16,1.81E+23
2.12E-16,0
2.80E-16,0
3.71E-16,3.54E+22
4.91E-16,2.28E+22
6.48E-16,1.41E+22
8.56E-16,8.72E+21
1.13E-15,5.35E+21
1.50E-15,6.69E+21
1.98E-15,2.05E+21
2.62E-15,3.82E+21
3.46E-15,1.57E+21
4.57E-15,1.93E+21
6.04E-15,1.19E+21
7.98E-15,7.29E+20
1.06E-14,6.75E+20
1.40E-14,4.96E+20
1.84E-14,3.56E+20
2.44E-14,2.78E+20
3.22E-14,2.04E+20
4.26E-14,1.40E+20
5.63E-14,1.02E+20
7.45E-14,6.09E+19
9.84E-14,4.10E+19
1.30E-13,2.40E+19
1.72E-13,1.44E+19
2.27E-13,8.61E+18
3.01E-13,4.92E+18
3.97E-13,2.75E+18
5.25E-13,1.48E+18
6.94E-13,7.54E+17
9.18E-13,3.76E+17
1.21E-12,1.75E+17
1.60E-12,7.73E+16
2.12E-12,3.30E+16
2.80E-12,1.33E+16
3.71E-12,5.15E+15
4.90E-12,1.93E+15
6.48E-12,6.96E+14
8.56E-12,2.52E+14
1.13E-11,9.78E+13
1.50E-11,3.69E+13
1.98E-11,1.32E+13
2.61E-11,2.65E+12
3.46E-11,2.38E+12
4.57E-11,0.00E+00